8146 5048
8147 3574
8148 1542
8149 -844
8150 -2961
8151 -4660
8152 -5519
8153 -5369
8154 -4268
8155 -2425
8156 -112
8157 2151
8158 4027
8159 5226
8160 5441
8161 4671
8162 3019
8163 846
8164 -1526
8165 -3599
8166 -5022
8167 -5638
8168 -5121
8169 -3725
8170 -1766
8171 616
8172 2768
8173 4511
8174 5371
8175 5252
8176 4246
8177 2417
8178 153
8179 -2152
8180 -4108
8181 -5274
8182 -5555
8183 -4786
8184 -3156
8185 -1070
8186 1240
8187 3381
8188 4825
8189 5381
8190 5058
8191 3740
8192 -777
8193 -466
8194 -29613
8195 1161
